Year,Period,labor force,employment,unemployment,unemployment rate
2010,Jan,1280579,1075106,205473,16.0
2010,Feb,1277929,1069327,208602,16.3
2010,Mar,1275758,1063494,212264,16.6
2010,Apr,1273733,1058610,215123,16.9
2010,May,1271502,1055729,215773,17.0
2010,Jun,1269533,1055449,214084,16.9
2010,Jul,1268136,1057467,210669,16.6
2010,Aug,1267066,1060466,206600,16.3
2010,Sep,1265418,1062791,202627,16.0
2010,Oct,1262513,1062514,199999,15.8
2010,Nov,1257571,1058347,199224,15.8
2010,Dec,1250382,1050307,200075,16.0
2011,Jan,1242155,1040481,201674,16.2
2011,Feb,1234604,1031693,202911,16.4
2011,Mar,1228607,1025412,203195,16.5
2011,Apr,1223951,1022006,201945,16.5
2011,May,1220184,1021096,199088,16.3
2011,Jun,1217007,1021128,195879,16.1
2011,Jul,1214535,1021633,192902,15.9
2011,Aug,1213100,1022437,190663,15.7
2011,Sep,1212658,1023307,189351,15.6
2011,Oct,1213096,1024470,188626,15.5
2011,Nov,1213164,1025264,187900,15.5
2011,Dec,1211982,1025297,186685,15.4
2012,Jan,1208971,1024441,184530,15.3
2012,Feb,1204910,1023079,181831,15.1
2012,Mar,1201464,1022631,178833,14.9
2012,Apr,1199216,1023344,175872,14.7
2012,May,1197578,1024514,173064,14.5
2012,Jun,1195996,1025814,170182,14.2
2012,Jul,1193990,1026199,167791,14.1
2012,Aug,1191631,1024828,166803,14.0
2012,Sep,1189288,1022205,167083,14.0
2012,Oct,1187057,1018941,168116,14.2
2012,Nov,1184644,1015802,168842,14.3
2012,Dec,1181611,1012938,168673,14.3
2013,Jan,1177185,1009877,167308,14.2
2013,Feb,1171316,1006686,164630,14.1
2013,Mar,1165244,1003918,161326,13.8
2013,Apr,1161036,1002028,159008,13.7
2013,May,1159632,1000998,158634,13.7
2013,Jun,1160784,1000826,159958,13.8
2013,Jul,1163659,1000734,162925,14.0
2013,Aug,1166776,1000140,166636,14.3
2013,Sep,1168513,998511,170002,14.5
2013,Oct,1168275,995629,172646,14.8
2013,Nov,1166045,991987,174058,14.9
2013,Dec,1162180,988124,174056,15.0
2014,Jan,1156847,984664,172183,14.9
2014,Feb,1149848,981836,168012,14.6
2014,Mar,1141961,979695,162266,14.2
2014,Apr,1134728,977701,157027,13.8
2014,May,1129333,975514,153819,13.6
2014,Jun,1126328,972900,153428,13.6
2014,Jul,1125315,969987,155328,13.8
2014,Aug,1125352,967958,157394,14.0
2014,Sep,1125393,967920,157473,14.0
2014,Oct,1125210,970978,154232,13.7
2014,Nov,1124986,976523,148463,13.2
2014,Dec,1124555,982568,141987,12.6
2015,Jan,1125363,988442,136921,12.2
2015,Feb,1123398,988302,135096,12.0
2015,Mar,1119539,984449,135090,12.1
2015,Apr,1114150,979228,134922,12.1
2015,May,1109765,975249,134516,12.1
2015,Jun,1108050,973661,134389,12.1
2015,Jul,1110091,975795,134296,12.1
2015,Aug,1115316,980845,134471,12.1
2015,Sep,1121674,986643,135031,12.0
2015,Oct,1126644,991196,135448,12.0
2015,Nov,1128530,993431,135099,12.0
2015,Dec,1128452,994396,134056,11.9
2016,Jan,1127069,994898,132171,11.7
2016,Feb,1125154,994895,130259,11.6
2016,Mar,1123238,994057,129181,11.5
2016,Apr,1121463,992441,129022,11.5
2016,May,1119320,989796,129524,11.6
2016,Jun,1115886,986318,129568,11.6
2016,Jul,1112195,982326,129869,11.7
2016,Aug,1109224,978164,131060,11.8
2016,Sep,1108467,975580,132887,12.0
2016,Oct,1110291,976157,134134,12.1
2016,Nov,1114217,979959,134258,12.0
2016,Dec,1118860,985193,133667,11.9
2017,Jan,1122137,989877,132260,11.8
2017,Feb,1121892,992491,129401,11.5
2017,Mar,1116778,991673,125105,11.2
2017,Apr,1108640,988249,120391,10.9
2017,May,1098575,982500,116075,10.6
2017,Jun,1088764,975320,113444,10.4
2017,Jul,1081644,968862,112782,10.4
2017,Aug,1078833,965193,113640,10.5
2017,Sep,1079960(V),964344(V),115616(V),10.7(V)
2017,Oct,1041748,924285,117463,11.3
2017,Nov,1084425,966577,117848,10.9
2017,Dec,1084929,968707,116222,10.7
2018,Jan,1084419,970913,113506,10.5
2018,Feb,1083813,973105,110708,10.2
2018,Mar,1082885,974969,107916,10.0
2018,Apr,1081750,976621,105129,9.7
2018,May,1081525,979008,102517,9.5
2018,Jun,1081770,982218,99552,9.2
2018,Jul,1080582,984200,96382,8.9
2018,Aug,1077904,984683,93221,8.6
2018,Sep,1074627,984221,90406,8.4
2018,Oct,1071799,982842,88957,8.3
2018,Nov,1070043,980839,89204,8.3
2018,Dec,1069715,979158,90557,8.5
2019,Jan,1071297,979071,92226,8.6
2019,Feb,1075161,981630,93531,8.7
2019,Mar,1080907,987566,93341,8.6
2019,Apr,1086920,995794,91126,8.4
2019,May,1091465,1003803,87662,8.0
2019,Jun,1093289,1009075,84214,7.7
2019,Jul,1090423,1008172,82251,7.5
2019,Aug,1083037,1000434,82603,7.6
2019,Sep,1074120,988871,85249,7.9
2019,Oct,1066792,978256,88536,8.3
2019,Nov,1065107,974958,90149,8.5
2019,Dec,1065881,975464,90417,8.5
2020,Jan,1055984,962208,93776,8.9
2020,Feb,1048791,956078,92713,8.8
2020,Mar,-(N),-(N),-(N),-(N)
2020,Apr,-(N),-(N),-(N),-(N)
2020,May,-(N),-(N),-(N),-(N)
2020,Jun,-(N),-(N),-(N),-(N)
2020,Jul,-(N),-(N),-(N),-(N)
2020,Aug,-(N),-(N),-(N),-(N)
